Opp ID,Opp Name,Account Name,Region,Industry,Status,Priority,Win Probability,Order Value,Closing Date,Opportunity Type,Sales Lead Name,Product Name,Opportunity Phase
OPP_1,Opportunity 1,Wayne Enterprises,North America,Technology,Closed Lost,Medium,24,29765,2023-2-5,New Business,Michael Jones,Marketing Cloud,Negotiation
OPP_2,Opportunity 2,LexCorp,EMEA,Technology,New,Medium,82,48290,2024-1-21,Cross-sell,Jane Smith,Service Cloud,Qualification
OPP_3,Opportunity 3,Acme Corp,APAC,Technology,Pending,Medium,55,31896,2023-11-26,Upsell,Michael Jones,Service Cloud,Qualification
OPP_4,Opportunity 4,LexCorp,EMEA,Healthcare,New,High,50,66674,2024-12-26,Cross-sell,John Doe,Salesforce,Closed Lost
OPP_5,Opportunity 5,Wayne Enterprises,South America,Healthcare,Pending,High,58,87012,2023-9-6,Upsell,John Doe,Marketing Cloud,Closed Lost
OPP_6,Opportunity 6,Acme Corp,South America,Technology,Closed Won,High,61,90904,2024-3-23,Cross-sell,Jane Smith,Service Cloud,Qualification
OPP_7,Opportunity 7,Litware Inc,South America,Finance,Closed Lost,High,77,51438,2024-6-23,Cross-sell,Michael Jones,Salesforce,Proposal/Quote
OPP_8,Opportunity 8,LexCorp,EMEA,Healthcare,New,Medium,35,36498,2024-8-2,Upsell,Jane Smith,Salesforce,Closed Lost
OPP_9,Opportunity 9,Litware Inc,APAC,Technology,Closed Won,Medium,73,96922,2023-4-8,Cross-sell,Jane Smith,Service Cloud,Proposal/Quote
OPP_10,Opportunity 10,Acme Corp,APAC,Finance,Closed Won,Low,67,54624,2024-7-19,Upsell,Michael Jones,Service Cloud,Qualification
OPP_11,Opportunity 11,Acme Corp,North America,Retail,Closed Lost,Medium,65,22122,2023-8-13,Upsell,Jane Smith,Marketing Cloud,Closed Lost
OPP_12,Opportunity 12,Wayne Enterprises,EMEA,Finance,Closed Won,Medium,35,19047,2023-9-8,Upsell,John Doe,Service Cloud,Closed Lost
OPP_13,Opportunity 13,LexCorp,South America,Healthcare,New,High,68,74925,2024-4-1,Upsell,John Doe,Service Cloud,Proposal/Quote
OPP_14,Opportunity 14,LexCorp,APAC,Healthcare,Closed Won,Low,87,20360,2023-7-2,Cross-sell,Jane Smith,Marketing Cloud,Closed Lost
OPP_15,Opportunity 15,Acme Corp,South America,Healthcare,Pending,Medium,64,19630,2023-3-3,Cross-sell,Jane Smith,Marketing Cloud,Negotiation
OPP_16,Opportunity 16,LexCorp,South America,Technology,Closed Won,Low,33,43492,2024-1-19,New Business,John Doe,Salesforce,Negotiation
OPP_17,Opportunity 17,LexCorp,EMEA,Finance,New,Medium,70,62381,2023-7-19,Cross-sell,John Doe,Marketing Cloud,Proposal/Quote
OPP_18,Opportunity 18,Wayne Enterprises,South America,Finance,Closed Lost,Medium,72,47460,2023-10-24,Cross-sell,Jane Smith,Salesforce,Qualification
OPP_19,Opportunity 19,Acme Corp,EMEA,Technology,New,Low,73,45991,2024-11-27,New Business,John Doe,Service Cloud,Proposal/Quote
OPP_20,Opportunity 20,Litware Inc,APAC,Technology,Closed Lost,Low,34,43930,2023-8-23,Cross-sell,John Doe,Marketing Cloud,Closed Lost
OPP_21,Opportunity 21,Litware Inc,South America,Retail,Pending,Low,39,45884,2024-10-1,Cross-sell,Jane Smith,Marketing Cloud,Closed Won
